Cooling Unit Error: Check connection cable
N/A
Cabinet
Signals from Cooling Unit
Alarm Activated:
No
Door Sensor:
CLOSED
Water Sensor:
OK
Smoke Sensor:
OK
Events Log
Log Entries: 1429
Refresh Log
Timestamp	Reporter	Target	Type	Event
2025-08-05 12:20:53	Display	Display	State	Screen Awakened from SCREENSAVER by MOTION!
2025-08-05 11:39:02	Display	Display	State	Screen Awakened from SCREENSAVER by MOTION!
2025-08-05 10:25:37	Display	Display	State	Screen Awakened from SCREENSAVER by MOTION!
2025-08-05 09:42:48	Website	RCU	Config	Modified ( control-mode-setting )
2025-08-05 09:42:42	Website	RCU	Config	Modified ( control-mode-setting )
2025-08-05 09:40:02	Website	Controller	Auth	User admin log in SUCCESSFUL!
2025-08-05 09:32:39	Website	Controller	Auth	User admin log in SUCCESSFUL!
2025-08-05 08:22:02	Display	Display	State	Screen Awakened from SCREENSAVER by MOTION!
2025-08-05 07:42:46	Display	Display	State	Screen Awakened from SCREENSAVER by MOTION!
2025-08-05 07:24:19	Display	Display	State	Screen Awakened from DISPLAY SLEEP by MOTION!
2025-08-05 06:27:43	Display	Display	State	Screen Awakened from SCREENSAVER by MOTION!
2025-08-05 05:45:05	Display	Display	State	Screen Awakened from SCREENSAVER by MOTION!
2025-08-05 05:23:24	Display	Display	State	Screen Awakened from DISPLAY SLEEP by MOTION!
2025-08-04 15:43:24	Display	Display	State	Screen Awakened from DISPLAY SLEEP by MOTION!
2025-08-04 14:29:53	Display	Display	State	Screen Awakened from DISPLAY SLEEP by MOTION!
2025-08-04 13:46:14	Display	Display	State	Screen Awakened from SCREENSAVER by MOTION!
2025-08-04 13:29:35	Display	Display	State	Screen Awakened from SCREENSAVER by MOTION!
2025-08-04 13:00:52	Display	Display	State	Screen Awakened from DISPLAY SLEEP by MOTION!
2025-08-04 11:42:11	Display	Display	State	Screen Awakened from SCREENSAVER by MOTION!
2025-08-04 11:21:12	Display	Display	State	Screen Awakened from SCREENSAVER by MOTION!
2025-08-04 10:05:40	Display	Display	State	Screen Awakened from SCREENSAVER by MOTION!
2025-08-04 09:39:11	Display	Display	State	Screen Awakened from DISPLAY SLEEP by MOTION!
2025-08-04 09:05:53	Display	Display	State	Screen Awakened from DISPLAY SLEEP by MOTION!
2025-08-04 08:01:14	Display	Display	State	Screen Awakened from DISPLAY SLEEP by MOTION!
2025-08-04 05:38:16	Display	Display	State	Screen Awakened from DISPLAY SLEEP by MOTION!
2025-08-01 17:31:50	Display	Display	State	Screen Awakened from DISPLAY SLEEP by MOTION!
2025-08-01 13:10:38	RCU	RCU	State	MODBUS has CONNECTED
2025-08-01 13:10:38	RCU	RCU	State	Machine status set to ON
2025-08-01 13:10:28	Controller	Controller	State	Controller start up!
2025-08-01 12:54:57	Display	Display	State	Screen Awakened from SCREENSAVER by MOTION!
2025-08-01 12:28:13	Display	Display	State	Screen Awakened from DISPLAY SLEEP by MOTION!
2025-08-01 11:53:06	Display	Display	State	Screen Awakened from DISPLAY SLEEP by MOTION!
2025-08-01 10:36:46	Display	Display	State	Screen Awakened from DISPLAY SLEEP by MOTION!
2025-08-01 09:48:46	Display	Display	State	Screen Awakened from DISPLAY SLEEP by MOTION!
2025-08-01 09:15:38	Display	Display	State	Screen Awakened from DISPLAY SLEEP by MOTION!
2025-08-01 08:28:07	Display	Display	State	Screen Awakened from SCREENSAVER by MOTION!
2025-08-01 07:51:12	Display	Display	State	Screen Awakened from DISPLAY SLEEP by MOTION!
2025-07-31 15:38:40	Display	Display	State	Screen Awakened from DISPLAY SLEEP by MOTION!
2025-07-31 14:31:55	Display	Display	State	Screen Awakened from DISPLAY SLEEP by MOTION!
2025-07-31 13:33:52	Display	Display	State	Screen Awakened from SCREENSAVER by MOTION!
2025-07-31 13:06:01	Display	Display	State	Screen Awakened from SCREENSAVER by MOTION!
2025-07-31 12:42:39	Display	Display	State	Screen Awakened from DISPLAY SLEEP by MOTION!
2025-07-31 11:39:55	Display	Display	State	Screen Awakened from DISPLAY SLEEP by MOTION!
2025-07-31 10:50:16	Display	Display	State	Screen Awakened from DISPLAY SLEEP by MOTION!
2025-07-31 10:07:45	Display	Display	State	Screen Awakened from SCREENSAVER by MOTION!
2025-07-31 09:24:01	Display	Display	State	Screen Awakened from SCREENSAVER by MOTION!
2025-07-31 07:50:25	Display	Display	State	Screen Awakened from DISPLAY SLEEP by MOTION!
2025-07-31 05:47:03	Display	Display	State	Screen Awakened from DISPLAY SLEEP by MOTION!
2025-07-30 15:03:14	Display	Display	State	Screen Awakened from DISPLAY SLEEP by MOTION!
2025-07-30 13:56:07	Display	Display	State	Screen Awakened from SCREENSAVER by MOTION!
2025-07-30 13:23:25	Display	Display	State	Screen Awakened from DISPLAY SLEEP by MOTION!
2025-07-30 11:18:31	Display	Display	State	Screen Awakened from SCREENSAVER by MOTION!
2025-07-30 10:54:21	Display	Display	State	Screen Awakened from DISPLAY SLEEP by MOTION!
2025-07-30 09:04:47	Display	Display	State	Screen Awakened from SCREENSAVER by MOTION!
2025-07-30 08:39:45	Display	Display	State	Screen Awakened from SCREENSAVER by MOTION!
2025-07-30 08:15:05	Display	Display	State	Screen Awakened from SCREENSAVER by MOTION!
2025-07-30 07:56:39	Display	Display	State	Screen Awakened from DISPLAY SLEEP by MOTION!
2025-07-30 07:25:10	Display	Display	State	Screen Awakened from DISPLAY SLEEP by MOTION!
2025-07-30 05:48:53	Display	Display	State	Screen Awakened from DISPLAY SLEEP by MOTION!
2025-07-29 15:17:55	Display	Display	State	Screen Awakened from DISPLAY SLEEP by MOTION!
2025-07-29 14:34:32	Display	Display	State	Screen Awakened from DISPLAY SLEEP by MOTION!
2025-07-29 13:11:46	Display	Display	State	Screen Awakened from SCREENSAVER by MOTION!
